SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127355";"Do";"22.10.2026";"20:00";"FC Weissenstein Bern";"Sen.40+";"10323";"C.F. España / Italiana";"Sen.40+";"10336";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127282";"Fr";"23.10.2026";"19:30";"SC Ittigen / Münchenbuchsee";"Sen.30+";"10335";"C.F. España / Italiana";"Sen.30+";"10336";"Hubelgut, Worblaufen - Hauptplatz";"Hubelgut";"Worblaufen";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.F Stärkeklasse 3";"802980";"Sa";"24.10.2026";"10:00";"Organisator: A.S. Italiana";"";"";"Teams: Team Schlossmatt (AS Italiana) b2, FC Sternenberg grün 1, FC Sternenberg grün 2, FC Grosshöchstetten-Schlosswil a, FC Grosshöchstetten-Schlosswil c, FC Grosshöchstetten-Schlosswil b, C.F. España a1, SCI Esperia 1927 b, FC Bern 1894 d, FC Muri-Gümligen d, Team Schlossmatt (AS Italiana) b1, C.F. España a2";"";"";"Lory, Bern - Fussballfeld Lory";"Lory";"Bern";"Fussballfeld Lory";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.E Stärkeklasse 3";"802680";"Sa";"24.10.2026";"12:00";"Organisator: FC Weissenstein Bern";"";"";"Teams: FC Weissenstein Bern c, FC Sternenberg rot, FC Stettlen 08 rot, C.F. España, FC Muri-Gümligen d, FC Münsingen d, FC Sternenberg grün";"";"";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.G";"803026";"So";"25.10.2026";"10:00";"Organisator: C.F. España";"";"";"Teams: C.F. España, FC Wyler Bern rot, FC Wyler Bern blau, FC Wyler Bern weiss, FC Wyler Bern schwarz, FC Muri-Gümligen a1, FC Muri-Gümligen a2, FC Breitenrain a1, FC Breitenrain a2, FC Breitenrain a3, FC Köniz schwarz";"";"";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Junioren D-7 / MFV - Herbstrunde / Gruppe  5";"137571";"So";"25.10.2026";"11:00";"C.F. España";"Jun.D-7";"10336";"FC Stettlen 08 b";"Jun.D-7";"10364";"Weissenstein, Bern - Kunstrasenfeld Weissenstein";"Weissenstein";"Bern";"Kunstrasenfeld Weissenstein";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126049";"So";"25.10.2026";"13:30";"C.F. España";"4.";"10336";"FC Bern 1894";"4.";"10302";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128424";"So";"25.10.2026";"16:00";"C.F. España";"5.";"10336";"SC Thörishaus a";"5.";"10381";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.F Stärkeklasse 3";"802947";"Sa";"31.10.2026";"09:00";"Organisator: SC Ittigen";"";"";"Teams: SC Ittigen c, SC Ittigen d, FC Weissenstein Bern c2, FC Weissenstein Bern c1, FC Belp 19 weiss 2, FC Belp 19 weiss 1, SC Jegenstorf schwarz 1, SC Jegenstorf schwarz 2, C.F. España a1, FC Muri-Gümligen d, C.F. España a2";"";"";"Hubelgut, Worblaufen - Hauptplatz";"Hubelgut";"Worblaufen";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.E Stärkeklasse 3";"802640";"Sa";"31.10.2026";"10:30";"Organisator: FC Belp";"";"";"Teams: FC Belp 17 rot, FC Muri-Gümligen d, FC Sternenberg grün, C.F. España";"";"";"Giessenbad, Belp - Kunststoffrasenplatz";"Giessenbad";"Belp";"Kunststoffrasenplatz";
